Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF
129,CCP,MM,098 Prasit,Siriwut,98,,,6,,1,0,Senior,330.73,82,,1,,,,39.43,39.43,,,,,,,,34.23,31.23,3,,,,,,,39.40,22.40,17,,,,,,,37.23,34.23,3,,,,,,,24.14,21.14,3,,,,,,,42.18,31.18,8,,1,,,,,35.07,34.07,1,,,,,,,79.05,32.05,47,,,,,,
130,CDP,NV,084 Jiattikanan,Chai,84,,,5,,1,0,"Law Enforcement,Senior",332.25,47,2,,,,,43.86,42.86,1,,,,,,,30.18,27.18,3,,,,,,,55.44,42.44,13,,,,,,,32.01,31.01,1,,,,,,,24.14,23.14,1,,,,,,,38.63,36.63,2,,,,,,,49.32,37.32,2,2,,,,,,58.67,34.67,24,,,,,,
131,CCP,NV,086 Suasaming,Anunath,86,,,5,,1,0,,341.81,63,,,,,,45.49,44.49,1,,,,,,,37.51,37.51,,,,,,,,51.35,31.35,20,,,,,,,53.66,36.66,17,,,,,,,26.73,26.73,,,,,,,,40.41,36.41,4,,,,,,,38.55,38.55,,,,,,,,48.11,27.11,21,,,,,,
132,CCP,MM,068 Thaiwee,Chatuphol,68,,,4,,1,0,,342.19,104,,2,,,,40.07,39.07,1,,,,,,,26.70,25.70,1,,,,,,,65.62,27.62,38,,,,,,,35.46,28.46,7,,,,,,,19.77,19.77,,,,,,,,41.83,30.83,11,,,,,,,63.86,32.86,25,,2,,,,,48.88,27.88,21,,,,,,
133,REV,MM,212 Booranasri,Parichart,212,,,12,,1,0,Lady,342.26,51,,4,,,,46.00,37.00,,,3,,,,,30.19,26.19,4,,,,,,,46.77,27.77,16,,1,,,,,34.44,24.44,10,,,,,,,26.06,26.06,,,,,,,,41.20,36.20,5,,,,,,,81.38,75.38,6,,,,,,,36.22,26.22,10,,,,,,
134,BUG,NV,061 Phan,Danai,61,,,4,,1,0,Law Enforcement,343.17,84,1,1,,,,41.98,37.98,4,,,,,,,42.94,39.94,,,1,,,,,51.40,24.40,22,1,,,,,,41.43,24.43,17,,,,,,,25.05,24.05,1,,,,,,,42.65,28.65,14,,,,,,,52.47,36.47,16,,,,,,,45.25,35.25,10,,,,,,
135,SSP,UN,035 Cumpui,Kitti,35,,,2,,1,0,Law Enforcement,344.13,55,4,1,,,,30.38,27.38,3,,,,,,,29.28,26.28,3,,,,,,,53.36,23.36,20,2,,,,,,35.12,29.12,6,,,,,,,38.33,28.33,,2,,,,,,52.28,48.28,1,,1,,,,,52.03,47.03,5,,,,,,,53.35,36.35,17,,,,,,
136,BUG,NV,087 Lertsutham,Arnon,87,,,5,,1,0,,345.26,93,2,1,,,,33.53,32.53,1,,,,,,,24.32,22.32,2,,,,,,,53.70,20.70,25,1,1,,,,,54.85,25.85,24,1,,,,,,23.96,21.96,2,,,,,,,47.58,30.58,17,,,,,,,48.41,46.41,2,,,,,,,58.91,38.91,20,,,,,,
137,SSP,NV,130 Rattanatham,Surat,130,,,7,,1,0,,347.73,102,4,7,,,,32.79,32.79,,,,,,,,30.12,29.12,1,,,,,,,54.74,19.74,22,2,1,,,,,64.21,26.21,21,1,4,,,,,31.29,23.29,3,1,,,,,,42.24,25.24,17,,,,,,,47.96,25.96,16,,2,,,,,44.38,22.38,22,,,,,,
138,CDP,NV,072 Kucharo,Choosak,72,,,4,,1,0,"Law Enforcement,Senior",348.84,81,2,1,,,,46.02,40.02,6,,,,,,,24.88,23.88,1,,,,,,,55.83,26.83,19,2,,,,,,49.65,30.65,19,,,,,,,35.53,34.53,1,,,,,,,51.85,30.85,18,,1,,,,,45.08,40.08,5,,,,,,,40.00,28.00,12,,,,,,
139,SSP,UN,045 Banjongduang,Paophatchara,45,,,3,,1,0,Law Enforcement,349.60,130,,4,,,,36.95,21.95,12,,1,,,,,40.78,25.78,15,,,,,,,67.45,15.45,49,,1,,,,,56.86,33.86,20,,1,,,,,31.18,27.18,4,,,,,,,38.30,32.30,6,,,,,,,36.95,21.95,12,,1,,,,,41.13,29.13,12,,,,,,
140,CCP,UN,139 Kingsumrit,Phruk,139,,,8,,1,0,,351.23,113,1,2,,,,41.63,28.63,10,,1,,,,,33.74,24.74,9,,,,,,,54.06,23.06,26,1,,,,,,47.10,32.10,15,,,,,,,26.15,22.15,4,,,,,,,33.56,28.56,2,,1,,,,,71.49,52.49,19,,,,,,,43.50,15.50,28,,,,,,
141,ESP,MA,077 Artnarong,Passawas,77,,,5,,1,0,,355.33,105,2,5,,,,77.60,46.60,25,,2,,,,,24.45,22.45,2,,,,,,,87.71,31.71,43,2,1,,,,,27.19,21.19,6,,,,,,,16.41,16.41,,,,,,,,22.84,21.84,1,,,,,,,56.52,43.52,10,,1,,,,,42.61,21.61,18,,1,,,,
142,CCP,SS,007 Reedurai,Chanchai,7,,,1,,1,0,Senior,357.08,102,,,,,,34.92,29.92,5,,,,,,,29.90,29.90,,,,,,,,56.95,18.95,38,,,,,,,46.32,35.32,11,,,,,,,20.38,20.38,,,,,,,,34.70,29.70,5,,,,,,,77.13,65.13,12,,,,,,,56.78,25.78,31,,,,,,
143,REV,NV,006 Nuchchareon,Boonduan,6,,,1,,1,0,"Lady,Senior",358.62,30,2,2,,,,37.97,35.97,2,,,,,,,35.50,35.50,,,,,,,,62.42,33.42,13,2,2,,,,,44.22,42.22,2,,,,,,,37.49,36.49,1,,,,,,,38.97,36.97,2,,,,,,,56.45,55.45,1,,,,,,,45.60,36.60,9,,,,,,
144,CCP,UN,055 Yodchiangkam,Nattapon,55,,,3,,1,0,,362.88,99,1,2,,,,43.71,39.71,4,,,,,,,38.17,30.17,8,,,,,,,42.80,27.80,10,1,,,,,,44.92,30.92,14,,,,,,,19.94,18.94,1,,,,,,,37.62,28.62,9,,,,,,,60.79,32.79,22,,2,,,,,74.93,43.93,31,,,,,,
145,SSP,NV,192 Lawhasukasame,Chaitat,192,,,11,,1,0,,366.53,141,2,1,,,,33.55,32.55,1,,,,,,,25.62,24.62,1,,,,,,,44.19,19.19,20,1,,,,,,141.83,25.83,111,1,,,,,,21.80,21.80,,,,,,,,33.73,28.73,2,,1,,,,,32.17,32.17,,,,,,,,33.64,27.64,6,,,,,,
146,CDP,MM,040 Prasertsom,Thanapark,40,,,3,,1,0,Law Enforcement,367.68,84,4,1,,,,29.61,29.61,,,,,,,,35.50,35.50,,,,,,,,67.80,29.80,25,2,1,,,,,52.39,33.39,14,1,,,,,,30.47,23.47,2,1,,,,,,52.10,47.10,5,,,,,,,44.64,38.64,6,,,,,,,55.17,23.17,32,,,,,,
147,SSP,UN,193 Sansern,Peerawat,193,,,11,,1,0,Law Enforcement,367.70,83,1,2,,,,35.73,33.73,2,,,,,,,30.78,26.78,4,,,,,,,54.14,23.14,23,1,1,,,,,45.80,31.80,14,,,,,,,29.02,29.02,,,,,,,,38.80,35.80,3,,,,,,,70.04,56.04,11,,1,,,,,63.39,37.39,26,,,,,,
148,SSP,UN,187 Kriengkrairut,Suppanut,187,,,11,,1,0,,368.40,75,,1,,,,39.96,38.96,1,,,,,,,32.88,25.88,7,,,,,,,58.79,28.79,27,,1,,,,,42.31,30.31,12,,,,,,,26.16,26.16,,,,,,,,48.89,42.89,6,,,,,,,50.61,44.61,6,,,,,,,68.80,52.80,16,,,,,,
149,BUG,UN,053 Suwanmanee,Tamrong,53,,,3,,1,0,,370.58,83,1,2,,,,37.31,37.31,,,,,,,,32.22,29.22,3,,,,,,,57.80,22.80,30,1,,,,,,70.40,50.40,14,,2,,,,,30.09,26.09,4,,,,,,,43.42,39.42,4,,,,,,,48.43,41.43,7,,,,,,,50.91,29.91,21,,,,,,
150,CCP,SS,050 Promnim,Pattara,50,,,3,,1,0,Law Enforcement,372.21,121,2,2,,,,41.81,29.81,9,,1,,,,,32.26,30.26,2,,,,,,,69.95,23.95,46,,,,,,,51.52,33.52,18,,,,,,,34.27,24.27,,2,,,,,,47.35,35.35,12,,,,,,,41.81,29.81,9,,1,,,,,53.24,28.24,25,,,,,,
151,SSP,UN,090 Panjun,Werapuk,90,,,5,,1,0,,372.22,45,6,2,,,,32.58,32.58,,,,,,,,32.40,32.40,,,,,,,,58.50,24.50,28,,2,,,,,40.44,35.44,5,,,,,,,26.09,24.09,2,,,,,,,39.13,33.13,6,,,,,,,102.16,70.16,2,6,,,,,,40.92,38.92,2,,,,,,
152,ESP,MM,009 Suksicharoenwong,Hathairat,9,,,1,,1,0,"Lady,Law Enforcement",372.26,90,3,2,,,,49.41,32.41,17,,,,,,,35.01,34.01,1,,,,,,,64.19,33.19,23,1,1,,,,,51.49,27.49,21,,1,,,,,33.71,21.71,2,2,,,,,,38.55,33.55,5,,,,,,,46.35,45.35,1,,,,,,,53.55,33.55,20,,,,,,
153,CO,ALL,217 Inpanich,Phonthep,217,,,12,,1,0,Law Enforcement,376.52,44,1,1,,,,48.40,42.40,6,,,,,,,44.62,44.62,,,,,,,,60.36,28.36,27,1,,,,,,47.13,40.13,4,,1,,,,,32.69,32.69,,,,,,,,43.90,43.90,,,,,,,,42.09,42.09,,,,,,,,57.33,50.33,7,,,,,,
154,SSP,UN,109 Charaswirote,Jakkrapad,109,,,6,,1,0,,382.93,100,,3,,,,42.69,38.69,4,,,,,,,36.13,36.13,,,,,,,,65.96,34.96,31,,,,,,,40.09,31.09,9,,,,,,,29.01,28.01,1,,,,,,,42.85,39.85,3,,,,,,,73.00,29.00,35,,3,,,,,53.20,36.20,17,,,,,,
155,ESP,UN,016 Kummalai,Krengkai,16,,,1,,1,0,Law Enforcement,388.22,114,3,,,,,34.78,34.78,,,,,,,,39.23,37.23,2,,,,,,,87.74,23.74,64,,,,,,,58.67,33.67,15,2,,,,,,35.83,28.83,2,1,,,,,,34.23,32.23,2,,,,,,,34.78,34.78,,,,,,,,62.96,33.96,29,,,,,,
156,CCP,UN,210 Wankham,Sompong,210,,,12,,1,0,,390.47,122,,2,,,,40.21,29.21,11,,,,,,,32.72,28.72,4,,,,,,,54.02,32.02,16,,2,,,,,49.36,31.36,18,,,,,,,28.46,24.46,4,,,,,,,63.69,36.69,27,,,,,,,56.93,45.93,11,,,,,,,65.08,34.08,31,,,,,,
157,CCP,UN,024 Gunpukdee,Teerapong,24,,,2,,1,0,Law Enforcement,391.53,101,1,1,,,,44.09,36.09,5,,1,,,,,41.83,32.83,9,,,,,,,50.19,22.19,23,1,,,,,,52.56,24.56,28,,,,,,,35.87,34.87,1,,,,,,,51.61,40.61,11,,,,,,,66.27,59.27,7,,,,,,,49.11,32.11,17,,,,,,
158,SSP,NV,093 Khamfu,Phasuk,93,,,5,,1,0,,393.30,134,2,3,,,,32.69,28.69,1,,1,,,,,30.26,26.26,1,,1,,,,,66.53,23.53,38,1,,,,,,59.62,26.62,30,,1,,,,,21.09,20.09,1,,,,,,,48.38,27.38,21,,,,,,,58.91,51.91,2,1,,,,,,75.82,35.82,40,,,,,,
159,CO,ALL,088 Mongkolpipat,Kitchawat,88,,,5,,1,0,,397.46,126,3,,,,,35.47,34.47,1,,,,,,,27.61,26.61,1,,,,,,,84.15,33.15,41,2,,,,,,54.58,27.58,22,1,,,,,,30.96,28.96,2,,,,,,,36.76,31.76,5,,,,,,,42.42,40.42,2,,,,,,,85.51,33.51,52,,,,,,
160,SSP,UN,123 Kaewpunya,Kanapol,123,,,7,,1,0,Law Enforcement,402.15,126,,1,,,,38.65,34.65,4,,,,,,,38.65,34.65,4,,,,,,,56.72,24.72,29,,1,,,,,50.10,35.10,15,,,,,,,26.65,26.65,,,,,,,,55.94,32.94,23,,,,,,,59.96,54.96,5,,,,,,,75.48,29.48,46,,,,,,
161,SSP,UN,032 Siriluk,Supphakit,32,,,2,,1,0,Law Enforcement,402.93,131,2,2,,,,41.90,37.90,4,,,,,,,47.27,33.27,14,,,,,,,72.72,27.72,42,,1,,,,,75.48,30.48,35,2,,,,,,27.12,24.12,3,,,,,,,42.13,35.13,4,,1,,,,,46.16,38.16,8,,,,,,,50.15,29.15,21,,,,,,
162,SSP,NV,209 Thanakhemmsthat,Natthapuch,209,,,5,,1,0,"Lady,Senior",403.38,109,1,5,,,,49.12,45.12,4,,,,,,,37.61,34.61,3,,,,,,,61.42,23.42,30,1,1,,,,,43.93,28.93,15,,,,,,,34.26,30.26,1,,1,,,,,44.75,36.75,8,,,,,,,82.10,39.10,34,,3,,,,,50.19,36.19,14,,,,,,
163,SSP,UN,027 Kasiruk,Surawin,27,,,2,,1,0,Law Enforcement,405.35,103,3,4,,,,43.96,40.96,,,1,,,,,43.66,32.66,11,,,,,,,67.23,23.23,26,3,1,,,,,49.98,29.98,17,,1,,,,,26.51,25.51,1,,,,,,,55.20,35.20,17,,1,,,,,40.76,37.76,3,,,,,,,78.05,50.05,28,,,,,,
164,CCP,NV,133 Pornmuneelerd,Surapas,133,,,7,,1,0,,406.53,91,1,2,,,,40.46,39.46,1,,,,,,,43.09,41.09,2,,,,,,,92.96,44.96,40,1,1,,,,,48.96,39.96,9,,,,,,,29.06,27.06,2,,,,,,,50.00,33.00,14,,1,,,,,53.00,48.00,5,,,,,,,49.00,31.00,18,,,,,,
165,CCP,UN,034 Luengsuwan,Thanayos,34,,,2,,1,0,Law Enforcement,406.79,75,6,4,1,,,50.58,43.58,4,,1,,,,,33.79,30.79,3,,,,,,,62.19,26.19,18,3,1,,,,,61.10,32.10,4,1,,1,,,,30.45,23.45,7,,,,,,,48.06,39.06,9,,,,,,,76.43,39.43,21,2,2,,,,,44.19,35.19,9,,,,,,
166,CCP,NV,062 Maneenum,Tikkrapan,62,,,4,,1,0,"Lady,Law Enforcement",409.93,78,2,4,,,,45.02,39.02,6,,,,,,,42.66,35.66,4,,1,,,,,67.23,34.23,17,2,2,,,,,55.40,41.40,14,,,,,,,26.53,24.53,2,,,,,,,46.22,35.22,8,,1,,,,,67.60,64.60,3,,,,,,,59.27,35.27,24,,,,,,
167,CCP,UN,105 Trinwisutthikun,Thanit,105,,,6,,1,0,Senior,415.32,98,2,3,,,,37.05,31.05,6,,,,,,,41.31,40.31,1,,,,,,,71.65,32.65,29,2,,,,,,40.59,35.59,5,,,,,,,26.35,26.35,,,,,,,,53.92,35.92,12,,2,,,,,57.38,57.38,,,,,,,,87.07,39.07,45,,1,,,,
168,SSP,EX,213 Ruengnithikongkrai,Rojaninr,213,,,12,,1,0,,420.04,253,1,,,,,17.10,16.10,1,,,,,,,19.02,19.02,,,,,,,,25.58,16.58,9,,,,,,,21.37,20.37,1,,,,,,,230.26,12.26,213,1,,,,,,23.09,22.09,1,,,,,,,45.11,31.11,14,,,,,,,38.51,24.51,14,,,,,,
169,CDP,NV,036 Wangapai,Tanaphat,36,,,2,,1,0,Law Enforcement,437.63,126,2,1,,,,54.33,41.33,13,,,,,,,45.00,38.00,7,,,,,,,55.72,23.72,22,2,,,,,,47.79,29.79,15,,1,,,,,34.21,28.21,6,,,,,,,53.67,44.67,9,,,,,,,69.11,66.11,3,,,,,,,77.80,26.80,51,,,,,,
170,BUG,UN,219 Mongkhonthod,Amnart,219,,,5,,1,0,,439.99,162,2,,,,,57.46,50.46,7,,,,,,,46.35,27.35,19,,,,,,,74.76,28.76,36,2,,,,,,63.84,26.84,37,,,,,,,28.59,28.59,,,,,,,,46.85,32.85,14,,,,,,,52.93,43.93,9,,,,,,,69.21,29.21,40,,,,,,
171,CCP,NV,207 Lakthong,Atthapon,207,,,11,,1,0,Law Enforcement,444.38,70,,1,,,,36.32,35.32,1,,,,,,,34.73,34.73,,,,,,,,87.58,53.58,34,,,,,,,63.59,49.59,11,,1,,,,,27.84,27.84,,,,,,,,51.64,48.64,3,,,,,,,79.67,79.67,,,,,,,,63.01,42.01,21,,,,,,
172,SSP,UN,019 Kortrakulkit,Panida,19,,,1,,1,0,Lady,472.34,159,,3,,,,53.75,42.75,11,,,,,,,49.18,44.18,2,,1,,,,,59.40,23.40,36,,,,,,,57.76,37.76,20,,,,,,,37.11,32.11,5,,,,,,,58.31,36.31,22,,,,,,,82.41,52.41,24,,2,,,,,74.42,35.42,39,,,,,,
173,SSP,UN,041 Viriyakarnjanasakul,Kiettiphum,41,,,3,,1,0,Law Enforcement,473.28,200,4,7,1,,,42.33,27.33,9,,2,,,,,38.35,28.35,10,,,,,,,79.03,25.03,48,,2,,,,,85.26,22.26,33,2,,1,,,,40.38,23.38,7,2,,,,,,63.14,28.14,32,,1,,,,,42.33,27.33,9,,2,,,,,82.46,30.46,52,,,,,,
174,BUG,MM,092 Preethong,Weera,92,,,5,,1,0,"Law Enforcement,Senior",481.56,74,4,2,,,,49.81,47.81,2,,,,,,,51.53,48.53,,,1,,,,,77.46,43.46,24,2,,,,,,43.44,36.44,7,,,,,,,43.54,28.54,5,2,,,,,,46.50,40.50,6,,,,,,,116.09,99.09,14,,1,,,,,53.19,37.19,16,,,,,,
175,ESP,UN,142 Rujirachayangkun,Napapt,142,,,8,,1,0,Lady,484.13,80,1,1,,,,63.70,53.70,7,,1,,,,,64.91,52.91,12,,,,,,,43.88,33.88,5,1,,,,,,62.47,40.47,22,,,,,,,40.73,38.73,2,,,,,,,50.50,41.50,9,,,,,,,89.50,85.50,4,,,,,,,68.44,49.44,19,,,,,,
176,BUG,UN,066 Onon,Thatsanee,66,,,4,,1,0,Lady,535.38,224,5,5,,,,77.42,66.42,11,,,,,,,50.26,28.26,22,,,,,,,79.75,27.75,44,1,1,,,,,90.47,26.47,48,2,2,,,,,35.70,23.70,7,1,,,,,,51.30,29.30,22,,,,,,,67.06,33.06,23,1,2,,,,,83.42,36.42,47,,,,,,
177,CDP,UN,059 Phadawan,Sasima,59,,,4,,1,0,Lady,580.64,130,4,3,,,,77.78,67.78,7,,1,,,,,64.73,59.73,5,,,,,,,93.68,42.68,30,3,2,,,,,64.98,56.98,8,,,,,,,37.01,30.01,2,1,,,,,,53.81,48.81,5,,,,,,,71.18,54.18,17,,,,,,,117.47,61.47,56,,,,,,
178,REV,UN,166 Supachavinswad,Kaveewong,166,,,9,,1,0,,588.15,111,,2,,,,61.50,59.50,2,,,,,,,64.67,56.67,8,,,,,,,90.29,60.29,30,,,,,,,104.55,70.55,28,,2,,,,,37.45,35.45,2,,,,,,,78.48,67.48,11,,,,,,,71.20,61.20,10,,,,,,,80.01,60.01,20,,,,,,
179,SSP,UN,031 Tulyawatsakul,Sontidech,31,,,2,,1,0,Law Enforcement,595.89,145,5,2,,,,85.65,65.65,20,,,,,,,67.37,62.37,5,,,,,,,90.27,44.27,33,2,1,,,,,69.27,43.27,18,1,1,,,,,48.63,38.63,,2,,,,,,70.54,50.54,20,,,,,,,77.40,60.40,17,,,,,,,86.76,54.76,32,,,,,,
180,CCP,UN,018 Prachakij,Yodthida,18,,,1,,1,0,Lady,599.64,142,2,3,,,,64.77,58.77,6,,,,,,,76.38,69.38,7,,,,,,,98.23,51.23,39,1,1,,,,,84.81,51.81,25,1,1,,,,,45.02,36.02,6,,1,,,,,72.73,48.73,24,,,,,,,74.78,70.78,4,,,,,,,82.92,51.92,31,,,,,,
181,BUG,UN,051 Phadungtammasanti,Paithung,51,,,3,,1,0,Law Enforcement,611.56,304,4,4,,,,75.46,51.46,24,,,,,,,69.15,42.15,27,,,,,,,96.11,30.11,50,2,2,,,,,84.18,23.18,61,,,,,,,51.70,18.70,23,2,,,,,,75.34,29.34,40,,2,,,,,75.46,51.46,24,,,,,,,84.16,29.16,55,,,,,,
182,BUG,UN,012 Saelim,Wilasinee,12,,,1,,1,0,"Lady,Law Enforcement",688.37,247,5,2,,,,79.01,52.01,24,,1,,,,,53.41,37.41,16,,,,,,,120.79,79.79,28,2,1,,,,,96.08,36.08,50,2,,,,,,50.60,31.60,14,1,,,,,,117.18,67.18,50,,,,,,,69.55,56.55,13,,,,,,,101.75,49.75,52,,,,,,
dnf,CO,ALL,153 Bangtessthum,Kittidat,153,,,9,,0,1,,166.93,41,1,,,,,32.35,31.35,1,,,,,,,32.77,31.77,1,,,,,,,64.66,31.66,28,1,,,,,,37.15,26.15,11,,,,,,,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1
dnf,SPD,ALL,156 Kaewkaosai,Pongchira,156,,,9,,0,1,,86.80,3,,1,,,,0.00,0.00,,,,,,,1,54.35,53.35,1,,,,,,,0.00,0.00,,,,,,,1,32.45,27.45,2,,1,,,,,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1
dnf,SPD,ALL,172 Jitchenkarn,Voraphot,172,,,10,,0,1,,172.32,29,2,,,,,39.44,37.44,2,,,,,,,30.69,28.69,2,,,,,,,62.95,39.95,18,1,,,,,,39.24,27.24,7,1,,,,,,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1
dnf,PCC,ALL,043 Huang,Jun,43,,,3,,0,1,,162.05,52,3,2,,,,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1,54.59,21.59,33,,,,,,,48.01,28.01,12,1,1,,,,,29.28,19.28,,2,,,,,,30.17,20.17,7,,1,,,,,0.00,0.00,,,,,,,1,0.00,0.00,,,,,,,1
dq,ESP,NV,171 Deeprasert,Annop,171,,,10,,0,1,,0.00,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
dq,CDP,UN,211 Kamanchar,Roongroj,211,,,12,,0,1,,0.00,58,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dq,CCP,NV,122 Kongkaew,Thirawat,122,,,7,,0,1,Law Enforcement,0.00,31,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
dq,BUG,MM,044 Campusa,Deega,44,,,3,,0,1,Senior,0.00,26,1,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dq,PCC,ALL,003 Luengaramwong,Ratana,3,,,1,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
